ID,Text,United_States_Hate,Australia_Hate,United_Kingdom_Hate,South_Africa_Hate,Singapore_Hate
SBIC-0,if you make a fact filled book or book of lies about the clintons your gonna just end up another number on the  clinton body count.,0.0,0.0,0.0,0.0,0.0
SBIC-1,"Jason Donner‏:

FBI Deputy Director Andrew McCabe has now been meeting with the House Intel Committee behind closed doors for more than seven hours.",0.0,0.0,0.0,0.0,0.0
SBIC-2,"""""""Almost called you to ask if you were okay... u were eating A LOT of food on your IG story yday. Are you going through things?"""" Wow thx &#128528;&#128514;""",0.0,0.0,0.0,0.0,0.0
SBIC-3,"""""""Blanny loves it when I call her that... You can tell from the angrily blushes and explicit language. That's how you know, hmhmhmhm~""""""",0.0,0.0,0.0,0.0,0.0
SBIC-4,"""""""Boys convince themselves they are a man by drinking lots of beer and having a vagina nearby to stick themselves into."""" FUCKING NAILED IT""",1.0,1.0,1.0,1.0,0.0
SBIC-5,"""""""Don't worry, don't be afraid -- ever -- because... this is just a ride!"""" _Bill Hicks""",0.0,0.0,0.0,0.0,0.0
SBIC-6,"""""""i've got these fucking barney rubbles in my mentions""""""",0.0,0.0,0.0,0.0,0.0
SBIC-7,""".@USER It showed gossip network users got news or headlines from those networks, that's not """"their news.""""""",0.0,0.0,0.0,0.0,0.0
SBIC-8,"""@USER: Females think dating a pussy is cute now? URL"" how does doing this stuff make him a pussy?",1.0,0.0,0.0,1.0,1.0
SBIC-9,"""@USER: Have you ever been threatened with rape by a woman? #QuestionsForMen""  Yes.  Many times, but ONLY by feminist women.",1.0,1.0,1.0,1.0,1.0
SBIC-10,"""@USER @USER +don't forget to grab your coupons to Big Belly Burger on your way out.""""""",0.0,0.0,0.0,0.0,0.0
SBIC-11,"""@USER Pepsi is not alone, may be they are more direct but all of them turn politics into """"cool"""" product then sell it for profit""",0.0,0.0,0.0,0.0,0.0
SBIC-12,"""@USER @USER Bill O""""Reilly did nothing wrong, says the Donald He probably just grabbed some pussy Like a president!""",0.0,0.0,0.0,1.0,1.0
SBIC-13,"""@USER: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",1.0,1.0,1.0,1.0,0.0
SBIC-14,"""@USER: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",1.0,1.0,0.0,1.0,1.0
